TypeName,BranchName,Buy,Sell,date
SJC,Đông Nam Bộ,127400.0,128900.0,2025-08-29 08:23:05
SJC,Đông Nam Bộ,127400.0,129300.0,2025-08-29 13:24:12
SJC,Đông Nam Bộ,127800.0,129300.0,2025-08-29 13:24:14
SJC,TPHCM,127800.0,129300.0,2025-08-30 07:51:46
SJC,TPHCM,127800.0,129300.0,2025-08-30 07:53:53
SJC,TPHCM,129100.0,129300.0,2025-08-30 08:38:01
SJC,TPHCM,129100.0,130600.0,2025-08-30 08:38:30
SJC,Hà Nội,127800.0,129300.0,2025-08-30 07:51:46
SJC,Hà Nội,127800.0,129300.0,2025-08-30 07:53:53
SJC,Hà Nội,129100.0,129300.0,2025-08-30 08:38:01
SJC,Hà Nội,129100.0,130600.0,2025-08-30 08:38:30
SJC,Đà Nẵng,127800.0,129300.0,2025-08-30 07:51:46
SJC,Đà Nẵng,127800.0,129300.0,2025-08-30 07:53:53
SJC,Đà Nẵng,129100.0,129300.0,2025-08-30 08:38:01
SJC,Đà Nẵng,129100.0,130600.0,2025-08-30 08:38:30
SJC,Miền Tây,127800.0,129300.0,2025-08-30 07:51:46
SJC,Miền Tây,127800.0,129300.0,2025-08-30 07:53:53
SJC,Miền Tây,129100.0,129300.0,2025-08-30 08:38:01
SJC,Miền Tây,129100.0,130600.0,2025-08-30 08:38:30
SJC,Tây Nguyên,127800.0,129300.0,2025-08-30 07:51:46
SJC,Tây Nguyên,127800.0,129300.0,2025-08-30 07:53:53
SJC,Tây Nguyên,129100.0,129300.0,2025-08-30 08:38:01
SJC,Tây Nguyên,129100.0,130600.0,2025-08-30 08:38:30
SJC,Đông Nam Bộ,127800.0,129300.0,2025-08-30 07:51:46
SJC,Đông Nam Bộ,127800.0,129300.0,2025-08-30 07:53:53
SJC,Đông Nam Bộ,129100.0,129300.0,2025-08-30 08:38:01
SJC,Đông Nam Bộ,129100.0,130600.0,2025-08-30 08:38:30
SJC,TPHCM,129100.0,130600.0,2025-09-02 12:05:43
SJC,Hà Nội,129100.0,130600.0,2025-09-02 12:05:43
SJC,Đà Nẵng,129100.0,130600.0,2025-09-02 12:05:43
SJC,Miền Tây,129100.0,130600.0,2025-09-02 12:05:43
SJC,Tây Nguyên,129100.0,130600.0,2025-09-02 12:05:43
SJC,Đông Nam Bộ,129100.0,130600.0,2025-09-02 12:05:43
SJC,TPHCM,129100.0,130600.0,2025-09-03 08:19:57
SJC,TPHCM,129100.0,130600.0,2025-09-03 08:19:58
SJC,TPHCM,131900.0,130600.0,2025-09-03 08:32:44
SJC,TPHCM,131900.0,133400.0,2025-09-03 08:41:02
SJC,Hà Nội,129100.0,130600.0,2025-09-03 08:19:57
SJC,Hà Nội,129100.0,130600.0,2025-09-03 08:19:58
SJC,Hà Nội,131900.0,130600.0,2025-09-03 08:32:44
SJC,Hà Nội,131900.0,133400.0,2025-09-03 08:41:02
SJC,Đà Nẵng,129100.0,130600.0,2025-09-03 08:19:57
SJC,Đà Nẵng,129100.0,130600.0,2025-09-03 08:19:58
SJC,Đà Nẵng,131900.0,130600.0,2025-09-03 08:32:44
SJC,Đà Nẵng,131900.0,133400.0,2025-09-03 08:41:02
SJC,Miền Tây,129100.0,130600.0,2025-09-03 08:19:57
SJC,Miền Tây,129100.0,130600.0,2025-09-03 08:19:58
SJC,Miền Tây,131900.0,130600.0,2025-09-03 08:32:44
SJC,Miền Tây,131900.0,133400.0,2025-09-03 08:41:02
SJC,Tây Nguyên,129100.0,130600.0,2025-09-03 08:19:57
SJC,Tây Nguyên,129100.0,130600.0,2025-09-03 08:19:58
SJC,Tây Nguyên,131900.0,130600.0,2025-09-03 08:32:44
SJC,Tây Nguyên,131900.0,133400.0,2025-09-03 08:41:02
SJC,Đông Nam Bộ,129100.0,130600.0,2025-09-03 08:19:57
SJC,Đông Nam Bộ,129100.0,130600.0,2025-09-03 08:19:58
SJC,Đông Nam Bộ,131900.0,130600.0,2025-09-03 08:32:44
SJC,Đông Nam Bộ,131900.0,133400.0,2025-09-03 08:41:02
SJC,TPHCM,131900.0,133400.0,2025-09-04 08:22:45
SJC,TPHCM,131900.0,133400.0,2025-09-04 08:23:43
SJC,TPHCM,131900.0,133900.0,2025-09-04 08:25:55
SJC,TPHCM,132400.0,133900.0,2025-09-04 08:26:01
SJC,Hà Nội,131900.0,133400.0,2025-09-04 08:22:45
SJC,Hà Nội,131900.0,133400.0,2025-09-04 08:23:43
SJC,Hà Nội,131900.0,133900.0,2025-09-04 08:25:55
SJC,Hà Nội,132400.0,133900.0,2025-09-04 08:26:01
